symbol,entry_time,exit_time,direction,entry_open,exit_close,bars_held,pnl_points,runup_points,drawdown_points,cum_pnl_points
1d,2001-08-29 00:00:00+00:00,2001-09-26 00:00:00+00:00,-1,4546.518044191007,4162.625,17,383.893044191007,469.268044191007,0.0,6294.439314470566
1d,2001-09-26 00:00:00+00:00,2001-09-27 00:00:00+00:00,1,4168.263777054507,4124.75,2,-43.513777054507045,34.986222945492955,80.51377705450705,6250.925537416059
1d,2001-09-27 00:00:00+00:00,2001-10-04 00:00:00+00:00,-1,4165.444388527254,4250.5,6,-85.05561147274602,77.69438852725398,135.80561147274602,6165.869925943313
1d,2001-10-04 00:00:00+00:00,2001-10-18 00:00:00+00:00,1,4164.4982621414765,4308.125,11,143.62673785852348,279.7517378585235,0.0,6309.496663801837
1d,2001-10-18 00:00:00+00:00,2001-10-23 00:00:00+00:00,-1,4356.776853771622,4376.5,4,-19.723146228378027,71.02685377162197,49.47314622837803,6289.773517573459
1d,2001-10-23 00:00:00+00:00,2001-10-30 00:00:00+00:00,1,4337.925231721452,4334.0,6,-3.925231721452292,135.3247682785477,34.67523172145229,6285.8482858520065
1d,2001-10-30 00:00:00+00:00,2001-11-02 00:00:00+00:00,-1,4408.2711009912955,4406.0,4,2.271100991295498,105.0211009912955,15.978899008704502,6288.119386843302
1d,2001-11-02 00:00:00+00:00,2001-11-12 00:00:00+00:00,1,4366.377637623912,4493.0,7,126.62236237608795,199.87236237608795,0.0,6414.74174921939
1d,2001-11-12 00:00:00+00:00,2001-11-14 00:00:00+00:00,-1,4497.173869337874,4570.625,3,-73.45113066212616,59.42386933787384,106.07613066212616,6341.290618557264
1d,2001-11-14 00:00:00+00:00,2001-11-21 00:00:00+00:00,1,4516.293467334468,4534.625,6,18.331532665531995,98.456532665532,8.543467334468005,6359.622151222796
1d,2001-11-21 00:00:00+00:00,2001-11-27 00:00:00+00:00,-1,4572.630264604202,4594.625,4,-21.99473539579776,64.88026460420224,55.61973539579776,6337.627415826998
1d,2001-11-27 00:00:00+00:00,2001-11-29 00:00:00+00:00,1,4564.781908075525,4560.625,3,-4.15690807552528,63.46809192447472,34.53190807552528,6333.470507751473
1d,2001-11-29 00:00:00+00:00,2001-12-03 00:00:00+00:00,-1,4573.976727018881,4561.5,3,12.47672701888132,43.72672701888132,15.77327298111868,6345.947234770354
1d,2001-12-03 00:00:00+00:00,2001-12-04 00:00:00+00:00,1,4573.087931754721,4583.0,2,9.912068245279443,48.16206824527944,30.337931754720557,6355.8593030156335
1d,2001-12-04 00:00:00+00:00,2001-12-05 00:00:00+00:00,-1,4567.29396587736,4662.75,2,-95.45603412263972,24.54396587736028,146.45603412263972,6260.403268892994
